1password-beta 8.11.16_30.BETA-30
1password-cli 2.32.0-2
7zip 25.01-1
aether 2.13.1-1
alacritty 0.16.1-1
asdcontrol 0.23.0ee8bd5-1
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
bat 0.26.0-1
beekeeper-studio-bin 5.4.9-1
blueberry 1.4.8-2
brightnessctl 0.5.1-3
btop 1.4.5-1
btrfs-progs 6.17-1
clang 21.1.4-2
composer 2.8.12-1
cups 2:2.4.14-1
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
docker 1:28.5.1-1
docker-buildx 0.29.1-1
docker-compose 2.40.2-1
dust 1.2.3-1
efibootmgr 18-3
egl-wayland 4:1.1.20-1
elephant 2.7.8-1
elephant-bluetooth 2.7.8-1
elephant-calc 2.7.8-1
elephant-clipboard 2.7.8-1
elephant-desktopapplications 2.7.8-1
elephant-files 2.7.8-1
elephant-menus 2.7.8-1
elephant-providerlist 2.7.8-1
elephant-runner 2.7.8-1
elephant-symbols 2.7.8-1
elephant-todo 2.7.8-1
elephant-unicode 2.7.8-1
elephant-websearch 2.7.8-1
evince 1:48.1-1
expac 10-11
eza 0.23.4-1
fastfetch 2.54.0-1
fcitx5 5.1.16-1
fcitx5-gtk 5.1.4-2
fcitx5-qt 5.1.11-1
fd 10.3.0-1
ffmpegthumbnailer 2.2.3-4
fontconfig 2:2.17.1-1
freerdp 2:3.17.2-4
fzf 0.66.1-1
gemini-cli 1:0.10.0-1
ghostty 1.2.3-1
git 2.51.2-2
github-cli 2.82.1-1
gnome-calculator 49.1.1-1
gnome-disk-utility 46.1-2
gnome-keyring 1:48.0-1
gnome-themes-extra 3.28+r6+g45b1d457-4
gpu-screen-recorder r1187.7d4a406-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.4.9-1
gum 0.17.0-1
gvfs-mtp 1.58.0-2
gvfs-nfs 1.58.0-2
gvfs-smb 1.58.0-2
handbrake 1.10.2-4
hypridle 0.1.7-4
hyprland 0.51.1-6
hyprland-qtutils 0.1.5-4
hyprlock 0.9.2-3
hyprpicker 0.4.5-7
hyprsunset 0.3.3-3
imagemagick 7.1.2.8-1
impala 0.4.1-1
imv 4.5.0-6
inetutils 2.6-1
intel-ucode 20250812-1
inxi 3.3.39.1-1
iwd 3.10-1
jetbrains-toolbox 3.0.1.59888-1
jq 1.8.1-1
kvantum-qt5 1.1.5-1
lazydocker 0.24.1-2
lazygit 0.55.1-1
less 1:685-1
lib32-nvidia-utils 580.95.05-1
libpulse 17.0+r88+geee0e8f22-1
libqalculate 5.8.1-1
libreoffice-fresh 25.8.2-4
libva-nvidia-driver 0.0.14-1
libyaml 0.2.5-3
limine 10.2.1-1
limine-mkinitcpio-hook 1.25.0-1
limine-snapper-sync 1.17.1-1
linux 6.17.5.arch1-1
linux-firmware 20251021-1
linux-headers 6.17.5.arch1-1
llvm 21.1.4-1
localsend 1.17.0-2
luarocks 3.12.2-1
mako 1.10.0-1
man-db 2.13.1-1
mariadb-libs 12.0.2-1
mise 2025.10.18-1
mpv 1:0.40.0-7
nautilus 49.1-2
neovim 0.11.4-1
noto-fonts 1:2025.10.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2025.10.01-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
nvidia-open-dkms 580.95.05-1
nvidia-utils 580.95.05-1
obsidian 1.9.14-1
omarchy-chromium 141.0.7390.122-6
omarchy-keyring 20251027-1
omarchy-nvim 2025.10.28-1
openbsd-netcat 1.234_1-1
pamixer 1.6-3
php 8.4.14-1
php-sqlite 8.4.14-1
pinta 3.0.4-1
pipewire 1:1.4.9-1
pipewire-alsa 1:1.4.9-1
pipewire-jack 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
playerctl 2.4.1-4
plocate 1.1.23-1
plymouth 24.004.60-11
polkit-gnome 0.105-11
postgresql-libs 17.6-2
postman-bin 11.69.2-1
power-profiles-daemon 0.30-1
python-gobject 3.54.5-1
python-poetry-core 2.2.1-1
python-terminaltexteffects 0.12.0-1
qbittorrent 5.1.2-2
qt5-wayland 5.15.17+kde+r57-1
qt6-wayland 6.10.0-1
ripgrep 15.1.0-1
rust 1:1.90.0-4
satty 0.20.0-1
sddm 0.21.0-6
signal-desktop 7.76.0-1
slack-desktop 4.46.101-1
slurp 1.5.0-1
snapper 0.13.0-2
sof-firmware 2025.05.1-1
spotify 1:1.2.74.477-2
starship 1.24.0-1
sushi 46.0-2
swaybg 1.2.1-1
swayosd 0.2.1-1
system-config-printer 1.5.18-5
tldr 3.4.3-2
tree-sitter-cli 0.25.10-1
ttf-cascadia-mono-nerd 3.4.0-1
ttf-ia-writer 20181225-1
ttf-jetbrains-mono-nerd 3.4.0-1
typora 1.12.2-1
tzupdate 3.1.0-1
ufw 0.36.2-5
ufw-docker 250710-1
unrar 1:7.2.1-1
unzip 6.0-23
uwsm 0.24.2-1
walker 2.7.1-1
waybar 0.14.0-3
wayfreeze 0.1.0-1
whois 5.6.5-1
wireless-regdb 2025.10.07-1
wiremix 0.7.0-1
wireplumber 0.5.12-1
wl-clipboard 1:2.2.1-3
woff2-font-awesome 7.1.0-1
xdebug 3.4.5-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.11-1
xmlstarlet 1.6.1-6
xournalpp 1.2.7-1
yaru-icon-theme 25.10.2-1
yay 12.5.2-2
yt-dlp 2025.10.22-1
zoxide 0.9.8-2
zram-generator 1.2.1-1
